"Page GID","Page handle","Page title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS212SAVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/12/DSS212S-UN-DSS316S-UN-AVL.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DuraStreams-DSS212S-UN","string","https://premio.blob.core.windows.net/premio/uploads/2017/10/DuraStreams-DSS212S-UN.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS424J-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS212J-S3-DSS316J-S3-DSS424J-S3-eDrawer4048J-S3-eDrawer4060J-S3-eDrawer4072J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS424J-S3-Quick-Guide-v1","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS424J-S3-Quick-Guide-v1.40.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS424J-S3","string","https://premio.blob.core.windows.net/premio/uploads/2017/05/DSS424J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS316J-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS212J-S3-DSS316J-S3-DSS424J-S3-eDrawer4048J-S3-eDrawer4060J-S3-eDrawer4072J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS316J-S3-Quick-Guide-v2","string","https://premio.blob.core.windows.net/premio/uploads/2017/11/Premio_DSS316J-S3-Quick-Guide-v2.00.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS316J-S3","string","https://premio.blob.core.windows.net/premio/uploads/2017/05/DSS316J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Premio_DSS248J-S3-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS248J-S3-AVL.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","DSS248J-S3","string","https://premio.blob.core.windows.net/premio/uploads/2017/05/DSS248J-S3.pdf"
"gid://shopify/Page/24736170054","downloads","Downloads","global","Premio_DSS224J-S3-AVL","string","https://premio.blob.core.windows.net/premio/uploads/2017/08/Premio_DSS224J-S3-AVL.pdf"
