"Product GID","Product handle","Product title","Metafield namespace","Metafield key","Metafield type","Metafield value"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","resource_Firmware","string","fwsas3x36-Firmware"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","resource_MFG file","string","mfgsas3x36R-MFG-File"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","resource_Data Sheet","string","DS_DSS212J-S3_E"
"gid://shopify/Product/1774388117574","dss212j-s3-2u-12-bays","DSS212J-S3 2U 12 BAYS 3.5"" HDD 12G SAS DUAL EXPANDER JBOD 500W HRP","global","processor","string","JBOD"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","100_System","string","System"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","110_Processor","string","Each Node: Supports Single Socket Intel&reg; Xeon&reg; P Skylake up to 205W TDP socket LGA3647"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","120_System Chipset","string","Intel C621 chipset"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","130_System Memory","string","Each Node: Supports up to 16x DIMMs DDR4 RDIMM/RDIMM 3DS/LRDIMM/LRDIMM 3DS 2666"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","170_Storage","string","Each node: 36 ports 12G SAS Expander with 3 SFF8643 Connectors"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","305_Expansion","string","Each Node: 2x PCIe Gen3 x 16 slots; 1x PCIe Gen3 x16 OCP Storage Mezz.; 1x PCIe Gen3 x16 OCP NIC"
"gid://shopify/Product/1774388543558","dss212s-d5-2u-12-bays","DSS212S-D5 2U 12 BAYS 3.5"" HDD 12G SAS REDUNDANT NODE DUAL XEON SP 1200W HRP","global","700_Environment","string","Environment"
